,Unnamed: 0,vendor,cost,distance,passengers
325,325,2,12.0,2.3,6
326,326,2,7.5,1.86,2
327,327,2,15.5,3.04,1
328,328,2,6.5,1.15,1
329,329,2,8.0,1.94,1
330,330,1,6.0,1.3,1
331,331,2,22.5,5.63,2
332,332,2,5.5,0.77,2
333,333,2,4.0,0.55,1
334,334,2,8.5,1.9,1
335,335,2,5.5,0.71,1
336,336,2,28.0,8.68,1
337,337,1,4.5,0.6,1
338,338,2,5.5,0.93,1
339,339,2,11.5,3.05,6
340,340,2,20.5,7.12,1
341,341,1,5.5,0.6,1
342,342,1,17.5,3.8,1
343,343,1,13.0,3.8,2
344,344,2,36.5,11.28,5
345,345,2,9.5,1.86,1
346,346,2,9.0,1.88,1
347,347,1,4.5,0.6,1
348,348,2,57.5,15.51,1
349,349,2,10.0,1.59,1
350,350,2,5.0,0.59,1
351,351,1,5.0,0.8,1
352,352,2,4.5,0.63,1
353,353,2,10.0,2.82,1
354,354,2,15.0,2.61,1
355,355,1,8.0,1.6,1
356,356,2,6.0,0.92,1
357,357,2,7.5,1.45,1
358,358,2,4.0,0.57,1
359,359,2,21.5,2.68,3
360,360,2,17.5,5.6,1
361,361,2,38.0,13.39,1
362,362,1,14.0,3.0,1
363,363,1,22.0,6.9,1
364,364,2,4.5,0.59,1
365,365,2,6.0,1.42,1
366,366,2,5.5,1.08,1
367,367,2,6.0,1.27,1
368,368,1,13.5,3.0,1
369,369,2,5.5,0.94,1
370,370,1,18.0,4.2,1
371,371,2,6.5,1.41,1
372,372,1,16.5,4.6,1
373,373,2,18.5,3.49,1
374,374,2,12.0,2.21,1
375,375,1,11.0,2.9,1
376,376,2,25.0,6.82,1
377,377,2,5.5,1.02,1
378,378,2,7.0,0.67,3
379,379,2,16.5,4.02,1
380,380,2,5.5,1.08,1
381,381,2,7.5,1.59,1
382,382,2,3.5,0.43,1
383,383,2,13.5,4.06,5
384,384,2,9.0,1.7,2
385,385,2,5.0,0.66,1
386,386,2,7.5,1.52,1
387,387,2,11.5,2.37,1
388,388,1,34.0,0.0,2
389,389,1,7.5,1.6,1
390,390,2,5.0,0.74,2
391,391,1,8.5,1.9,1
392,392,2,16.0,3.87,1
393,393,2,4.0,0.6,3
394,394,2,12.0,3.23,2
395,395,1,5.5,0.8,2
396,396,2,9.0,1.72,2
397,397,2,25.0,7.1,1
398,398,2,5.5,0.0,6
399,399,2,11.5,3.17,1
400,400,2,5.0,0.69,1
401,401,2,4.0,0.55,1
402,402,2,11.5,2.57,1
403,403,1,15.5,2.8,1
404,404,2,8.0,1.43,1
405,405,2,8.5,1.7,1
406,406,1,6.0,1.0,1
407,407,2,5.5,0.88,1
408,408,2,6.0,1.16,1
409,409,2,20.0,3.04,1
410,410,2,11.5,2.61,1
411,411,2,30.5,7.36,1
412,412,2,10.0,1.98,1
413,413,2,4.5,0.82,2
414,414,2,6.0,1.07,2
415,415,1,6.0,0.9,1
416,416,2,4.5,0.65,1
417,417,2,10.5,1.08,2
418,418,2,8.5,2.3,3
419,419,2,5.5,0.0,6
420,420,2,6.0,1.14,3
421,421,2,9.0,1.84,2
422,422,2,9.5,2.78,1
423,423,2,17.5,4.42,1
424,424,2,11.0,2.09,1
425,425,2,5.5,0.69,1
426,426,2,6.0,1.13,1
427,427,2,8.5,1.96,1
428,428,2,6.0,1.17,1
429,429,1,17.0,5.3,1
430,430,2,3.0,0.22,1
431,431,2,24.0,5.7,1
432,432,2,21.0,6.83,2
433,433,2,4.5,0.63,1
434,434,2,7.5,1.15,1
435,435,1,11.0,2.1,1
436,436,2,6.5,1.35,1
437,437,2,7.0,1.42,1
438,438,2,14.5,4.08,1
439,439,2,5.5,0.96,1
440,440,2,16.0,4.16,1
441,441,2,6.0,1.09,2
442,442,2,19.5,4.21,1
443,443,2,14.0,3.03,1
444,444,2,3.5,0.58,1
445,445,1,5.5,0.9,2
446,446,2,13.5,3.31,3
447,447,2,6.5,1.13,2
448,448,2,11.0,2.67,1
449,449,1,10.5,2.1,2
450,450,2,16.0,3.72,1
451,451,1,5.5,1.0,1
452,452,1,8.5,2.3,1
453,453,2,10.0,1.8,1
454,454,2,7.5,1.42,1
455,455,2,11.0,2.58,1
456,456,2,5.5,0.69,6
457,457,2,11.0,2.44,1
458,458,2,11.0,2.39,1
459,459,1,9.0,1.8,1
460,460,2,4.5,0.69,1
461,461,2,10.0,0.0,2
462,462,2,4.0,0.54,1
463,463,2,13.0,2.48,1
464,464,2,9.0,2.19,1
465,465,2,10.0,2.86,1
466,466,2,12.0,3.52,1
467,467,2,5.0,0.7,1
468,468,2,4.0,0.54,1
469,469,1,8.0,1.0,1
470,470,1,5.5,0.7,1
471,471,2,7.5,0.79,1
472,472,1,15.0,3.7,1
473,473,2,16.0,4.01,1
474,474,1,14.0,3.4,1
475,475,2,3.0,0.25,1
476,476,2,6.0,0.87,1
477,477,2,10.5,1.99,1
478,478,2,8.5,2.25,1
479,479,2,11.0,2.37,1
480,480,2,27.0,9.15,2
481,481,2,31.0,8.09,1
482,482,2,15.0,4.03,1
483,483,2,25.5,7.75,1
484,484,2,8.5,1.27,1
485,485,2,8.0,2.04,1
486,486,2,7.0,1.19,1
487,487,2,10.5,2.83,3
488,488,1,12.0,3.3,1
489,489,2,5.5,1.18,1
490,490,1,7.0,1.3,1
491,491,1,13.0,2.1,1
492,492,2,4.5,0.61,1
493,493,2,3.5,0.39,1
494,494,2,9.5,2.41,1
495,495,1,6.5,1.0,1
496,496,2,7.0,1.24,1
497,497,2,10.0,2.28,1
498,498,2,52.0,0.01,1
499,499,2,4.5,0.6,1
500,500,2,8.0,1.74,2
501,501,1,20.0,6.0,1
502,502,2,14.0,4.0,1
503,503,1,10.5,1.8,1
504,504,2,8.5,2.19,1
505,505,1,4.5,0.4,1
506,506,2,5.5,0.73,1
507,507,2,16.0,3.99,1
508,508,2,11.0,2.53,1
509,509,2,15.0,4.79,1
510,510,1,6.5,1.1,1
511,511,1,8.0,1.5,1
512,512,2,5.0,0.87,1
513,513,2,2.5,0.04,1
514,514,2,18.0,5.59,1
515,515,2,20.0,4.59,4
516,516,2,9.0,2.0,5
517,517,1,6.5,1.2,1
518,518,2,4.0,0.63,1
519,519,2,31.8,0.0,1
520,520,2,26.0,7.66,1
521,521,2,6.5,1.17,1
522,522,2,11.5,2.3,1
523,523,1,8.5,2.0,1
524,524,2,10.5,2.34,1
525,525,2,9.5,1.64,1
526,526,2,4.0,0.33,1
527,527,2,8.0,1.4,1
528,528,2,4.5,0.71,1
529,529,2,27.0,9.02,2
530,530,2,11.0,2.26,1
531,531,1,27.5,7.1,1
532,532,2,13.5,2.36,1
533,533,2,10.0,2.4,5
534,534,2,8.5,1.48,1
535,535,1,7.0,1.2,1
536,536,2,60.0,18.31,2
537,537,1,8.0,1.4,1
538,538,2,5.5,1.21,1
539,539,2,10.0,1.8,1
540,540,1,15.0,4.0,1
541,541,1,14.5,4.0,1
542,542,1,9.0,1.7,1
543,543,2,14.5,4.7,1
544,544,2,15.0,4.23,1
545,545,2,8.0,0.57,1
546,546,2,15.0,3.16,1
547,547,2,15.0,3.93,3
548,548,2,25.0,8.77,1
549,549,1,29.0,9.6,3
550,550,2,25.5,6.43,1
551,551,2,11.0,3.19,1
552,552,2,7.0,1.36,1
553,553,2,24.0,7.19,1
554,554,2,5.0,0.72,1
555,555,1,9.0,1.6,1
556,556,2,8.5,1.56,1
557,557,2,5.5,0.85,1
558,558,1,4.5,0.6,1
559,559,2,8.5,1.63,1
560,560,2,5.0,0.77,1
561,561,2,12.0,3.17,1
562,562,1,8.0,1.4,1
563,563,2,39.5,11.51,1
564,564,2,11.0,2.7,1
565,565,2,4.5,0.66,1
566,566,1,10.0,2.5,1
567,567,2,8.0,1.5,5
568,568,2,9.0,1.81,1
569,569,2,5.5,0.85,1
570,570,2,17.0,5.28,1
571,571,2,10.5,2.94,2
572,572,1,5.0,0.7,5
573,573,2,10.5,1.88,1
574,574,1,12.0,1.9,1
575,575,2,22.5,4.4,1
576,576,1,6.0,1.1,1
577,577,2,13.5,3.79,1
578,578,2,10.5,1.84,1
579,579,2,10.5,1.82,1
580,580,1,12.5,2.4,1
581,581,2,10.5,2.79,1
582,582,1,33.0,11.4,1
583,583,2,10.5,2.92,1
584,584,2,12.0,3.08,1
585,585,1,21.0,4.7,1
586,586,2,5.0,0.62,1
587,587,2,17.5,4.41,1
588,588,1,16.5,3.6,1
589,589,1,16.0,4.3,1
590,590,2,10.0,2.79,1
591,591,1,7.0,1.5,1
592,592,2,7.0,1.43,1
593,593,2,14.5,4.56,1
594,594,1,2.5,0.1,1
595,595,2,7.0,1.36,1
596,596,2,13.0,3.03,1
597,597,1,30.0,8.7,1
598,598,2,16.5,3.67,1
599,599,1,21.0,6.1,1
600,600,2,5.0,1.09,1
601,601,1,19.0,0.0,1
602,602,1,8.5,1.4,1
603,603,2,6.5,0.89,5
604,604,2,5.5,0.96,5
605,605,2,8.0,1.43,1
606,606,2,6.0,1.36,1
607,607,2,5.5,0.76,1
608,608,2,5.0,0.78,1
609,609,2,4.5,0.56,1
610,610,2,6.5,1.08,1
611,611,2,12.0,2.84,1
612,612,2,6.5,1.06,1
613,613,2,7.0,1.08,1
614,614,2,6.0,0.94,1
615,615,2,4.5,0.63,1
616,616,2,7.5,1.35,2
617,617,2,7.5,1.69,1
618,618,2,24.0,7.96,1
619,619,1,5.5,0.9,1
620,620,2,8.5,1.6,1
621,621,2,14.0,3.5,2
622,622,2,14.0,2.38,3
623,623,1,58.5,0.0,1
624,624,2,14.5,4.35,1
625,625,2,12.5,3.4,5
626,626,2,11.0,2.45,1
627,627,1,8.5,2.1,1
628,628,2,30.0,8.86,1
629,629,1,8.0,1.6,1
630,630,2,7.0,1.64,1
631,631,1,51.0,15.1,1
632,632,1,6.0,1.1,1
633,633,2,7.0,1.15,1
634,634,2,8.0,1.55,1
635,635,2,7.0,1.47,1
636,636,1,10.0,2.1,1
637,637,1,23.5,6.6,1
638,638,2,17.0,5.47,1
639,639,2,7.0,1.54,1
640,640,2,6.5,1.17,1
641,641,1,7.0,1.4,1
642,642,2,3.5,0.31,1
643,643,2,7.0,1.47,1
644,644,1,6.5,1.3,1
645,645,2,7.0,1.47,1
646,646,2,15.5,4.56,1
647,647,1,7.0,1.4,1
648,648,2,9.0,2.16,1
649,649,2,8.5,1.6,1
650,650,2,8.0,2.02,1
651,651,2,25.5,4.57,1
652,652,2,30.0,10.01,1
653,653,2,5.5,0.82,1
654,654,1,4.5,0.6,1
655,655,2,10.0,2.09,1
656,656,2,3.0,0.26,5
657,657,2,13.5,3.8,1
658,658,2,35.0,8.54,1
659,659,2,6.0,1.05,5
660,660,1,22.0,6.2,1
661,661,1,26.0,7.4,1
662,662,2,18.0,4.28,1
663,663,2,19.0,6.08,1
664,664,2,22.0,6.22,1
665,665,2,5.5,0.85,1
666,666,2,10.5,2.39,1
667,667,2,3.5,0.37,2
668,668,1,6.0,1.1,1
669,669,2,6.5,1.52,1
670,670,2,7.5,1.71,2
671,671,2,5.5,0.95,1
672,672,2,5.5,0.8,6
673,673,1,18.5,4.4,1
674,674,1,25.0,8.7,1
675,675,1,6.0,0.8,1
676,676,2,6.5,0.99,3
677,677,2,6.0,0.95,5
678,678,1,22.5,6.8,1
679,679,2,14.0,3.08,1
680,680,2,8.5,1.06,1
681,681,2,5.5,0.86,1
682,682,2,16.5,2.93,1
683,683,2,6.5,1.8,1
684,684,2,34.5,12.31,2
685,685,2,16.5,5.25,1
686,686,2,7.5,1.35,3
687,687,2,6.0,1.12,1
688,688,1,14.5,4.0,1
689,689,2,15.5,3.32,1
690,690,1,4.5,0.6,1
691,691,2,18.0,5.94,1
692,692,2,14.5,4.0,1
693,693,2,16.0,3.88,1
694,694,2,9.5,1.73,1
695,695,2,8.5,1.77,1
696,696,1,10.0,2.0,2
697,697,2,3.5,0.37,2
698,698,2,38.0,7.59,1
699,699,1,7.0,1.4,1
700,700,2,5.0,0.78,1
701,701,1,15.0,3.4,1
702,702,2,10.5,2.76,1
703,703,2,21.0,4.16,1
704,704,2,14.5,3.68,1
705,705,1,11.0,1.8,1
706,706,2,29.0,10.14,1
707,707,2,6.0,1.1,5
708,708,1,8.5,2.1,1
709,709,2,8.5,1.52,1
710,710,1,13.0,1.6,1
711,711,2,17.0,4.22,1
712,712,2,23.0,5.03,3
713,713,1,23.0,6.9,1
714,714,2,5.0,0.69,2
715,715,2,8.5,1.39,1
716,716,2,4.5,0.82,1
717,717,2,14.5,3.93,1
718,718,2,9.5,2.01,1
719,719,1,8.5,1.7,2
720,720,2,9.0,1.81,2
721,721,2,11.5,2.54,1
722,722,2,6.5,1.22,1
723,723,2,20.5,6.9,5
724,724,2,5.0,0.7,1
725,725,2,20.5,7.0,1
726,726,2,11.5,2.39,1
727,727,2,5.0,1.01,1
728,728,2,29.5,10.63,1
729,729,2,12.5,2.47,1
730,730,2,8.0,1.11,1
731,731,2,6.5,1.13,1
732,732,2,10.5,2.43,1
733,733,1,5.0,0.8,1
734,734,2,11.5,2.65,1
735,735,2,14.0,4.17,4
736,736,2,17.5,4.34,5
737,737,2,10.5,2.94,5
738,738,1,3.5,0.3,1
739,739,2,20.0,5.83,1
740,740,2,5.5,1.05,1
741,741,2,8.5,1.21,1
742,742,1,7.5,1.4,1
743,743,1,17.5,4.0,1
744,744,2,10.0,2.04,1
745,745,2,22.5,4.74,1
746,746,2,16.0,0.14,1
747,747,2,14.5,2.5,1
748,748,2,6.0,1.0,1
749,749,1,11.5,2.7,1
750,750,1,8.0,1.5,1
751,751,2,11.0,1.99,1
752,752,1,10.5,2.3,1
753,753,1,5.0,0.7,1
754,754,2,6.5,1.58,6
755,755,2,10.0,1.66,1
756,756,2,12.5,3.93,1
757,757,1,25.5,6.7,3
758,758,2,6.0,1.24,2
759,759,2,9.0,1.65,1
760,760,2,5.0,0.93,2
761,761,2,3.5,0.24,3
762,762,2,8.0,1.65,1
763,763,2,11.0,1.87,1
764,764,2,8.0,1.98,1
765,765,2,10.0,2.4,1
766,766,2,10.5,2.11,1
767,767,1,6.0,1.1,1
768,768,2,14.5,3.25,1
769,769,2,4.5,0.67,1
770,770,1,8.0,1.1,2
771,771,2,13.0,5.54,3
772,772,2,9.5,1.69,1
773,773,1,10.5,2.4,1
774,774,1,43.5,14.1,1
775,775,2,12.0,0.0,1
776,776,2,8.0,1.78,1
777,777,2,6.0,1.08,1
778,778,1,8.5,1.7,1
779,779,2,5.5,0.97,1
780,780,2,15.5,3.5,1
781,781,2,6.0,1.05,2
782,782,2,8.0,1.52,1
783,783,2,9.0,1.26,1
784,784,2,7.0,1.37,1
785,785,2,15.0,3.64,1
786,786,1,8.0,1.3,4
787,787,1,19.5,5.4,1
788,788,2,12.0,1.81,1
789,789,2,6.5,1.11,1
790,790,2,8.0,1.55,1
791,791,2,14.5,4.08,1
792,792,2,8.0,1.82,1
793,793,2,8.5,1.45,1
794,794,2,6.0,0.88,1
795,795,2,13.5,3.16,1
796,796,2,15.0,3.47,3
797,797,1,14.0,2.9,1
798,798,1,18.0,4.2,1
799,799,2,10.0,2.17,1
800,800,2,4.5,0.5,1
801,801,2,10.5,2.17,1
802,802,1,11.5,2.5,1
803,803,2,6.0,0.79,1
804,804,2,24.5,6.77,1
805,805,2,11.5,2.2,1
806,806,2,6.0,0.99,1
807,807,2,47.0,14.34,1
808,808,2,12.5,1.9,2
809,809,2,8.0,1.51,1
810,810,2,5.5,0.99,2
811,811,2,5.5,0.86,1
812,812,2,4.5,0.4,1
813,813,2,4.0,0.74,1
814,814,1,4.0,0.4,2
815,815,1,6.0,1.2,1
816,816,1,11.5,2.1,1
817,817,2,6.0,1.18,1
818,818,2,7.5,1.49,1
819,819,2,7.5,1.36,1
820,820,2,12.5,2.03,1
821,821,2,5.5,1.03,1
822,822,2,11.0,2.87,1
823,823,2,4.5,0.43,1
824,824,2,6.0,1.01,1
825,825,2,20.5,6.23,1
826,826,2,12.5,2.68,1
827,827,2,6.5,0.78,1
828,828,2,10.5,2.04,1
829,829,2,17.5,5.37,1
830,830,2,7.0,1.28,1
831,831,2,5.0,0.83,1
832,832,2,6.0,1.14,1
833,833,1,29.0,8.2,1
834,834,1,0.0,4.1,1
835,835,1,16.5,4.0,1
836,836,2,13.0,3.98,1
837,837,2,12.0,2.6,2
838,838,2,8.5,1.83,1
839,839,2,34.5,11.21,1
840,840,1,6.5,1.4,1
841,841,2,16.0,2.26,1
842,842,2,4.5,0.8,1
843,843,1,21.5,6.0,1
844,844,1,9.5,1.8,4
845,845,2,23.5,7.66,1
846,846,2,7.5,1.65,1
847,847,2,22.0,7.68,1
848,848,2,8.5,1.68,1
849,849,2,10.5,1.91,1
850,850,2,18.5,3.6,1
851,851,1,22.5,7.1,1
852,852,2,9.5,2.37,1
853,853,2,5.5,0.66,1
854,854,2,35.5,10.27,1
855,855,2,2.5,0.0,1
856,856,2,17.5,4.98,1
857,857,1,19.5,5.4,1
858,858,2,13.0,3.09,1
859,859,2,12.5,3.07,1
860,860,2,5.0,0.82,1
861,861,2,-5.0,0.66,5
862,862,1,8.5,1.1,1
863,863,1,6.5,0.6,1
864,864,2,6.0,1.02,1
865,865,2,19.0,4.24,1
866,866,2,10.0,2.54,1
867,867,1,23.0,6.2,2
868,868,2,5.0,0.69,1
869,869,2,6.5,1.24,1
870,870,1,13.0,2.7,1
